date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2016-05-18,86.0,64.0,39.0,2.0,1.0,6.0,18,5,2016
2016-05-19,85.0,88.0,5.0,3.0,2.0,5.0,19,5,2016
2016-05-20,57.0,56.0,9.0,3.0,2.0,6.0,20,5,2016
2016-05-21,50.0,67.0,3.0,3.0,2.0,7.0,21,5,2016
2016-05-22,83.0,101.0,7.0,3.0,2.0,8.0,22,5,2016
2016-05-23,91.0,30.0,4.0,3.0,2.0,8.0,23,5,2016
2016-05-24,74.0,40.0,6.0,3.0,2.0,8.0,24,5,2016
2016-05-25,87.0,32.0,6.0,3.0,2.0,7.0,25,5,2016
2016-05-26,82.0,34.0,8.0,1.0,2.0,8.0,26,5,2016
2016-05-27,87.0,33.0,6.0,1.0,1.0,8.0,27,5,2016
2016-05-28,86.0,71.0,4.0,1.0,2.0,7.0,28,5,2016
2016-05-29,143.0,22.0,7.0,1.0,1.0,7.0,29,5,2016
2016-05-30,63.0,27.0,6.0,1.0,2.0,8.0,30,5,2016
2016-05-31,73.0,35.0,5.0,1.0,2.0,8.0,31,5,2016
2016-06-01,88.0,40.0,5.0,1.0,2.0,8.0,1,6,2016
2016-06-02,97.0,41.0,6.0,1.0,2.0,8.0,2,6,2016
2016-06-03,94.0,29.0,6.0,1.0,2.0,8.0,3,6,2016
2016-06-04,78.0,30.0,5.0,1.0,2.0,7.0,4,6,2016
2016-06-05,78.0,30.0,6.0,1.0,2.0,7.0,5,6,2016
2016-06-06,81.0,27.0,5.0,1.0,2.0,7.0,6,6,2016
2016-06-07,74.0,29.0,6.0,1.0,2.0,7.0,7,6,2016
2016-06-08,75.0,29.0,6.0,1.0,2.0,7.0,8,6,2016
2016-06-09,78.0,29.0,5.0,1.0,2.0,8.0,9,6,2016
2016-06-10,74.0,22.0,7.0,1.0,2.0,9.0,10,6,2016
2016-06-11,62.0,18.0,7.0,1.0,2.0,8.0,11,6,2016
2016-06-12,55.0,21.0,7.0,1.0,2.0,8.0,12,6,2016
2016-06-13,61.0,22.0,6.0,1.0,1.0,8.0,13,6,2016
2016-06-14,62.0,20.0,5.0,3.0,2.0,8.0,14,6,2016
2016-06-15,59.0,29.0,6.0,3.0,2.0,7.0,15,6,2016
2016-06-16,78.0,24.0,6.0,2.0,2.0,8.0,16,6,2016
2016-06-17,69.0,30.0,7.0,3.0,2.0,8.0,17,6,2016
2016-06-18,81.0,30.0,8.0,3.0,2.0,9.0,18,6,2016
2016-06-19,81.0,29.0,11.0,3.0,2.0,10.0,19,6,2016
2016-06-20,79.0,33.0,4.0,3.0,2.0,8.0,20,6,2016
2016-06-21,88.0,29.0,6.0,1.0,2.0,8.0,21,6,2016
2016-06-22,78.0,29.0,6.0,1.0,2.0,8.0,22,6,2016
2016-06-23,78.0,29.0,6.0,1.0,2.0,8.0,23,6,2016
2016-06-24,78.0,29.0,6.0,1.0,2.0,8.0,24,6,2016
2016-06-25,78.0,29.0,6.0,1.0,2.0,8.0,25,6,2016
2016-06-26,78.0,29.0,6.0,1.0,2.0,8.0,26,6,2016
2016-06-27,78.0,29.0,6.0,1.0,2.0,8.0,27,6,2016
2016-06-28,78.0,29.0,6.0,1.0,2.0,8.0,28,6,2016
2016-06-29,78.0,29.0,6.0,1.0,2.0,8.0,29,6,2016
2016-06-30,78.0,195.0,6.0,13.0,18.0,8.0,30,6,2016
2016-07-01,322.0,32.0,9.0,15.0,16.0,3.0,1,7,2016
2016-07-02,78.0,51.0,8.0,15.0,16.0,2.0,2,7,2016
