date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-05-27,181.0,185.0,49.0,55.0,33.0,12.0,27,5,2018
2018-05-28,175.0,246.0,40.0,49.0,28.0,13.0,28,5,2018
2018-05-29,193.0,229.0,29.0,25.0,18.0,6.0,29,5,2018
2018-05-30,173.0,167.0,33.0,28.0,21.0,8.0,30,5,2018
2018-05-31,169.0,148.0,28.0,24.0,17.0,6.0,31,5,2018
2018-06-01,164.0,139.0,21.0,22.0,15.0,9.0,1,6,2018
2018-06-02,162.0,113.0,29.0,24.0,18.0,7.0,2,6,2018
2018-06-03,152.0,139.0,21.0,22.0,15.0,5.0,3,6,2018
2018-06-04,160.0,147.0,22.0,22.0,17.0,13.0,4,6,2018
2018-06-05,168.0,119.0,14.0,22.0,14.0,6.0,5,6,2018
2018-06-06,157.0,116.0,35.0,24.0,18.0,8.0,6,6,2018
2018-06-07,162.0,186.0,14.0,23.0,13.0,8.0,7,6,2018
2018-06-08,180.0,115.0,7.0,20.0,10.0,7.0,8,6,2018
2018-06-09,148.0,96.0,23.0,20.0,9.0,6.0,9,6,2018
2018-06-10,151.0,135.0,23.0,22.0,10.0,6.0,10,6,2018
2018-06-11,168.0,432.0,9.0,22.0,24.0,6.0,11,6,2018
2018-06-12,252.0,979.0,6.0,15.0,23.0,5.0,12,6,2018
2018-06-13,407.0,797.0,13.0,21.0,28.0,9.0,13,6,2018
2018-06-14,356.0,643.0,20.0,19.0,33.0,8.0,14,6,2018
2018-06-15,260.0,652.0,13.0,17.0,17.0,10.0,15,6,2018
2018-06-16,251.0,220.0,21.0,12.0,12.0,8.0,16,6,2018
2018-06-17,168.0,128.0,23.0,18.0,15.0,9.0,17,6,2018
2018-06-18,149.0,120.0,35.0,16.0,12.0,8.0,18,6,2018
2018-06-19,150.0,141.0,54.0,27.0,18.0,9.0,19,6,2018
2018-06-20,160.0,290.0,57.0,22.0,18.0,10.0,20,6,2018
2018-06-21,183.0,210.0,86.0,30.0,18.0,12.0,21,6,2018
2018-06-22,171.0,186.0,51.0,29.0,15.0,12.0,22,6,2018
