date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-06-17,135.0,84.0,40.5,25.0,3.0,5.0,17,6,2018
2018-06-18,135.0,84.0,40.5,25.0,3.0,5.0,18,6,2018
2018-06-19,135.0,84.0,40.5,25.0,3.0,5.0,19,6,2018
2018-06-20,135.0,84.0,40.5,25.0,3.0,5.0,20,6,2018
2018-06-21,135.0,84.0,40.5,25.0,3.0,5.0,21,6,2018
2018-06-22,135.0,84.0,40.5,25.0,3.0,5.0,22,6,2018
2018-06-23,135.0,84.0,40.5,25.0,3.0,5.0,23,6,2018
2018-06-24,135.0,84.0,40.5,25.0,3.0,5.0,24,6,2018
2018-06-25,135.0,84.0,40.5,25.0,3.0,5.0,25,6,2018
2018-06-26,135.0,84.0,40.5,25.0,3.0,5.0,26,6,2018
2018-06-27,135.0,84.0,40.5,25.0,3.0,5.0,27,6,2018
2018-06-28,135.0,84.0,40.5,25.0,3.0,5.0,28,6,2018
2018-06-29,135.0,84.0,40.5,25.0,3.0,5.0,29,6,2018
2018-06-30,135.0,84.0,40.5,25.0,3.0,5.0,30,6,2018
2018-07-01,135.0,84.0,40.5,25.0,3.0,5.0,1,7,2018
2018-07-02,135.0,84.0,40.5,25.0,3.0,5.0,2,7,2018
2018-07-03,135.0,84.0,40.5,25.0,3.0,5.0,3,7,2018
2018-07-04,135.0,84.0,40.5,25.0,3.0,5.0,4,7,2018
2018-07-05,135.0,84.0,40.5,25.0,3.0,5.0,5,7,2018
2018-07-06,135.0,84.0,40.5,25.0,3.0,5.0,6,7,2018
2018-07-07,135.0,84.0,40.5,25.0,3.0,5.0,7,7,2018
2018-07-08,135.0,84.0,40.5,25.0,3.0,5.0,8,7,2018
2018-07-09,135.0,84.0,40.5,25.0,3.0,5.0,9,7,2018
2018-07-10,135.0,84.0,40.5,25.0,3.0,5.0,10,7,2018
2018-07-11,135.0,84.0,40.5,25.0,3.0,5.0,11,7,2018
2018-07-12,135.0,84.0,40.5,25.0,3.0,5.0,12,7,2018
2018-07-13,135.0,84.0,40.5,25.0,3.0,5.0,13,7,2018
2018-07-14,135.0,84.0,40.5,25.0,3.0,5.0,14,7,2018
2018-07-15,135.0,84.0,40.5,25.0,3.0,5.0,15,7,2018
2018-07-16,135.0,84.0,40.5,25.0,3.0,5.0,16,7,2018
2018-07-17,135.0,84.0,40.5,25.0,3.0,5.0,17,7,2018
2018-07-18,135.0,84.0,40.5,25.0,3.0,5.0,18,7,2018
2018-07-19,135.0,84.0,40.5,25.0,3.0,5.0,19,7,2018
2018-07-20,135.0,84.0,40.5,25.0,3.0,5.0,20,7,2018
2018-07-21,135.0,84.0,40.5,25.0,3.0,5.0,21,7,2018
2018-07-22,135.0,84.0,40.5,25.0,3.0,5.0,22,7,2018
2018-07-23,135.0,84.0,40.5,25.0,3.0,5.0,23,7,2018
2018-07-24,135.0,84.0,40.5,25.0,3.0,5.0,24,7,2018
2018-07-25,135.0,84.0,40.5,25.0,3.0,5.0,25,7,2018
2018-07-26,135.0,84.0,40.5,25.0,3.0,5.0,26,7,2018
2018-07-27,135.0,84.0,40.5,25.0,3.0,5.0,27,7,2018
2018-07-28,135.0,84.0,40.5,25.0,3.0,5.0,28,7,2018
2018-07-29,135.0,84.0,40.5,25.0,3.0,5.0,29,7,2018
2018-07-30,135.0,84.0,40.5,25.0,3.0,5.0,30,7,2018
2018-07-31,135.0,84.0,40.5,25.0,3.0,5.0,31,7,2018
2018-08-01,135.0,84.0,40.5,25.0,3.0,5.0,1,8,2018
2018-08-02,135.0,84.0,40.5,25.0,3.0,5.0,2,8,2018
2018-08-03,135.0,84.0,40.5,25.0,3.0,5.0,3,8,2018
2018-08-04,135.0,84.0,40.5,25.0,3.0,5.0,4,8,2018
2018-08-05,135.0,84.0,40.5,25.0,3.0,5.0,5,8,2018
2018-08-06,135.0,84.0,40.5,25.0,3.0,5.0,6,8,2018
2018-08-07,135.0,84.0,40.5,25.0,3.0,5.0,7,8,2018
2018-08-08,135.0,84.0,40.5,25.0,3.0,5.0,8,8,2018
2018-08-09,135.0,84.0,40.5,25.0,3.0,5.0,9,8,2018
2018-08-10,135.0,84.0,40.5,25.0,3.0,5.0,10,8,2018
2018-08-11,135.0,84.0,40.5,25.0,3.0,5.0,11,8,2018
2018-08-12,135.0,84.0,40.5,25.0,3.0,5.0,12,8,2018
2018-08-13,135.0,84.0,40.5,25.0,3.0,5.0,13,8,2018
2018-08-14,135.0,84.0,40.5,25.0,3.0,5.0,14,8,2018
2018-08-15,135.0,84.0,40.5,25.0,3.0,5.0,15,8,2018
2018-08-16,135.0,84.0,40.5,25.0,3.0,5.0,16,8,2018
2018-08-17,135.0,84.0,40.5,25.0,3.0,5.0,17,8,2018
2018-08-18,135.0,84.0,40.5,25.0,3.0,5.0,18,8,2018
2018-08-19,135.0,84.0,40.5,25.0,3.0,5.0,19,8,2018
2018-08-20,135.0,84.0,40.5,25.0,3.0,5.0,20,8,2018
2018-08-21,135.0,84.0,40.5,25.0,3.0,5.0,21,8,2018
2018-08-22,135.0,84.0,40.5,25.0,3.0,5.0,22,8,2018
2018-08-23,135.0,84.0,40.5,25.0,3.0,5.0,23,8,2018
2018-08-24,135.0,84.0,40.5,25.0,3.0,5.0,24,8,2018
2018-08-25,135.0,84.0,40.5,25.0,3.0,5.0,25,8,2018
2018-08-26,135.0,84.0,40.5,25.0,3.0,5.0,26,8,2018
2018-08-27,135.0,84.0,40.5,25.0,3.0,5.0,27,8,2018
2018-08-28,135.0,84.0,40.5,25.0,3.0,5.0,28,8,2018
2018-08-29,135.0,84.0,40.5,25.0,3.0,5.0,29,8,2018
2018-08-30,135.0,84.0,40.5,25.0,3.0,5.0,30,8,2018
2018-08-31,135.0,84.0,40.5,25.0,3.0,5.0,31,8,2018
2018-09-01,135.0,84.0,40.5,25.0,3.0,5.0,1,9,2018
2018-09-02,135.0,84.0,40.5,25.0,3.0,5.0,2,9,2018
2018-09-03,135.0,84.0,40.5,25.0,3.0,5.0,3,9,2018
2018-09-04,135.0,84.0,40.5,25.0,3.0,5.0,4,9,2018
2018-09-05,135.0,84.0,40.5,25.0,3.0,5.0,5,9,2018
2018-09-06,135.0,84.0,40.5,25.0,3.0,5.0,6,9,2018
2018-09-07,135.0,84.0,40.5,25.0,3.0,5.0,7,9,2018
2018-09-08,135.0,84.0,40.5,25.0,3.0,5.0,8,9,2018
2018-09-09,135.0,84.0,40.5,25.0,3.0,5.0,9,9,2018
2018-09-10,135.0,84.0,40.5,25.0,3.0,5.0,10,9,2018
2018-09-11,135.0,84.0,40.5,25.0,3.0,5.0,11,9,2018
2018-09-12,135.0,84.0,40.5,25.0,3.0,5.0,12,9,2018
2018-09-13,135.0,84.0,40.5,25.0,3.0,5.0,13,9,2018
2018-09-14,135.0,84.0,40.5,25.0,3.0,5.0,14,9,2018
2018-09-15,135.0,84.0,40.5,25.0,3.0,5.0,15,9,2018
2018-09-16,135.0,84.0,40.5,25.0,3.0,5.0,16,9,2018
2018-09-17,135.0,84.0,40.5,25.0,3.0,5.0,17,9,2018
2018-09-18,135.0,84.0,40.5,25.0,3.0,5.0,18,9,2018
2018-09-19,135.0,84.0,40.5,25.0,3.0,5.0,19,9,2018
2018-09-20,135.0,84.0,40.5,25.0,3.0,5.0,20,9,2018
2018-09-21,135.0,84.0,40.5,25.0,3.0,5.0,21,9,2018
2018-09-22,135.0,84.0,40.5,25.0,3.0,5.0,22,9,2018
2018-09-23,135.0,84.0,40.5,25.0,3.0,5.0,23,9,2018
