date,pm25,o3,no2,so2,co,dd,mm,yy
2015-09-28,149.5,17.0,4.5,5.0,12.5,28,9,2015
2015-09-29,149.5,17.0,4.5,5.0,12.5,29,9,2015
2015-09-30,149.5,17.0,4.5,5.0,12.5,30,9,2015
2015-10-01,149.5,17.0,4.5,5.0,12.5,1,10,2015
2015-10-02,149.5,17.0,4.5,5.0,12.5,2,10,2015
2015-10-03,149.5,17.0,4.5,5.0,12.5,3,10,2015
2015-10-04,149.5,17.0,4.5,5.0,12.5,4,10,2015
2015-10-05,149.5,17.0,4.5,5.0,12.5,5,10,2015
2015-10-06,149.5,17.0,4.5,5.0,12.5,6,10,2015
2015-10-07,149.5,17.0,4.5,5.0,12.5,7,10,2015
2015-10-08,149.5,17.0,4.5,5.0,12.5,8,10,2015
2015-10-09,149.5,17.0,4.5,5.0,12.5,9,10,2015
2015-10-10,149.5,17.0,4.5,5.0,12.5,10,10,2015
2015-10-11,149.5,17.0,4.5,5.0,12.5,11,10,2015
2015-10-12,149.5,17.0,4.5,5.0,12.5,12,10,2015
2015-10-13,149.5,17.0,4.5,5.0,12.5,13,10,2015
2015-10-14,149.5,17.0,4.5,5.0,12.5,14,10,2015
2015-10-15,149.5,17.0,4.5,5.0,12.5,15,10,2015
2015-10-16,149.5,17.0,4.5,5.0,12.5,16,10,2015
2015-10-17,149.5,17.0,4.5,5.0,12.5,17,10,2015
2015-10-18,149.5,17.0,4.5,5.0,12.5,18,10,2015
2015-10-19,149.5,17.0,4.5,5.0,12.5,19,10,2015
2015-10-20,149.5,17.0,4.5,5.0,12.5,20,10,2015
2015-10-21,149.5,17.0,4.5,5.0,12.5,21,10,2015
2015-10-22,149.5,17.0,4.5,5.0,12.5,22,10,2015
2015-10-23,149.5,17.0,4.5,5.0,12.5,23,10,2015
2015-10-24,149.5,17.0,4.5,5.0,12.5,24,10,2015
2015-10-25,149.5,17.0,4.5,5.0,12.5,25,10,2015
2015-10-26,149.5,17.0,4.5,5.0,12.5,26,10,2015
2015-10-27,149.5,17.0,4.5,5.0,12.5,27,10,2015
2015-10-28,149.5,17.0,4.5,5.0,12.5,28,10,2015
2015-10-29,149.5,17.0,4.5,5.0,12.5,29,10,2015
2015-10-30,149.5,17.0,4.5,5.0,12.5,30,10,2015
2015-10-31,149.5,17.0,4.5,5.0,12.5,31,10,2015
2015-11-01,149.5,17.0,4.5,5.0,12.5,1,11,2015
2015-11-02,149.5,17.0,4.5,5.0,12.5,2,11,2015
2015-11-03,149.5,17.0,4.5,5.0,12.5,3,11,2015
2015-11-04,149.5,17.0,4.5,5.0,12.5,4,11,2015
2015-11-05,149.5,17.0,4.5,5.0,12.5,5,11,2015
2015-11-06,149.5,17.0,4.5,5.0,12.5,6,11,2015
2015-11-07,149.5,17.0,4.5,5.0,12.5,7,11,2015
2015-11-08,149.5,17.0,4.5,5.0,12.5,8,11,2015
2015-11-09,149.5,17.0,4.5,5.0,12.5,9,11,2015
2015-11-10,149.5,17.0,4.5,5.0,12.5,10,11,2015
2015-11-11,149.5,17.0,4.5,5.0,12.5,11,11,2015
2015-11-12,149.5,17.0,4.5,5.0,12.5,12,11,2015
2015-11-13,149.5,17.0,4.5,5.0,12.5,13,11,2015
2015-11-14,149.5,17.0,4.5,5.0,12.5,14,11,2015
2015-11-15,149.5,17.0,4.5,5.0,12.5,15,11,2015
2015-11-16,149.5,17.0,4.5,5.0,12.5,16,11,2015
2015-11-17,149.5,17.0,4.5,5.0,12.5,17,11,2015
2015-11-18,149.5,17.0,4.5,5.0,12.5,18,11,2015
2015-11-19,149.5,17.0,4.5,5.0,12.5,19,11,2015
2015-11-20,149.5,17.0,4.5,5.0,12.5,20,11,2015
2015-11-21,149.5,17.0,4.5,5.0,12.5,21,11,2015
2015-11-22,149.5,17.0,4.5,5.0,12.5,22,11,2015
2015-11-23,149.5,17.0,4.5,5.0,12.5,23,11,2015
2015-11-24,149.5,17.0,4.5,5.0,12.5,24,11,2015
2015-11-25,149.5,17.0,4.5,5.0,12.5,25,11,2015
2015-11-26,149.5,17.0,4.5,5.0,12.5,26,11,2015
2015-11-27,149.5,17.0,4.5,5.0,12.5,27,11,2015
2015-11-28,149.5,17.0,4.5,5.0,12.5,28,11,2015
2015-11-29,149.5,17.0,4.5,5.0,12.5,29,11,2015
2015-11-30,149.5,17.0,4.5,5.0,12.5,30,11,2015
2015-12-01,169.5,12.0,15.0,5.0,5.0,1,12,2015
2015-12-02,169.5,12.0,15.0,5.0,5.0,2,12,2015
2015-12-03,169.5,12.0,15.0,5.0,5.0,3,12,2015
2015-12-04,169.5,12.0,15.0,5.0,5.0,4,12,2015
2015-12-05,169.5,12.0,15.0,5.0,5.0,5,12,2015
2015-12-06,169.5,12.0,15.0,5.0,5.0,6,12,2015
2015-12-07,169.5,12.0,15.0,5.0,5.0,7,12,2015
2015-12-08,169.5,12.0,15.0,5.0,5.0,8,12,2015
2015-12-09,169.5,12.0,15.0,5.0,5.0,9,12,2015
2015-12-10,169.5,12.0,15.0,5.0,5.0,10,12,2015
2015-12-11,169.5,12.0,15.0,5.0,5.0,11,12,2015
2015-12-12,169.5,12.0,15.0,5.0,5.0,12,12,2015
2015-12-13,169.5,12.0,15.0,5.0,5.0,13,12,2015
2015-12-14,169.5,12.0,15.0,5.0,5.0,14,12,2015
2015-12-15,169.5,12.0,15.0,5.0,5.0,15,12,2015
2015-12-16,169.5,12.0,15.0,5.0,5.0,16,12,2015
2015-12-17,169.5,12.0,15.0,5.0,5.0,17,12,2015
2015-12-18,169.5,12.0,15.0,5.0,5.0,18,12,2015
2015-12-19,169.5,12.0,15.0,5.0,5.0,19,12,2015
2015-12-20,169.5,12.0,15.0,5.0,5.0,20,12,2015
2015-12-21,169.5,12.0,15.0,5.0,5.0,21,12,2015
2015-12-22,169.5,12.0,15.0,5.0,5.0,22,12,2015
2015-12-23,169.5,12.0,15.0,5.0,5.0,23,12,2015
2015-12-24,169.5,12.0,15.0,5.0,5.0,24,12,2015
2015-12-25,169.5,12.0,15.0,5.0,5.0,25,12,2015
2015-12-26,169.5,12.0,15.0,5.0,5.0,26,12,2015
2015-12-27,169.5,12.0,15.0,5.0,5.0,27,12,2015
2015-12-28,169.5,12.0,15.0,5.0,5.0,28,12,2015
2015-12-29,169.5,12.0,7.0,5.0,5.0,29,12,2015
2015-12-30,142.0,2.0,15.0,5.0,6.0,30,12,2015
2015-12-31,197.0,23.0,17.0,5.0,5.0,31,12,2015
2016-01-01,152.0,21.0,9.0,1.0,6.0,1,1,2016
2016-01-02,155.0,21.0,9.0,1.0,6.0,2,1,2016
2016-01-03,155.0,18.0,12.0,1.0,5.0,3,1,2016
2016-01-04,116.0,17.0,20.0,1.0,6.0,4,1,2016
2016-01-05,144.0,21.0,23.0,1.0,5.0,5,1,2016
2016-01-06,163.0,9.0,13.0,1.0,4.0,6,1,2016
2016-01-07,108.0,71.0,25.0,2.0,5.0,7,1,2016
2016-01-08,155.0,41.0,22.0,1.0,5.0,8,1,2016
2016-01-09,141.0,17.0,21.0,1.0,4.0,9,1,2016
2016-01-10,149.0,113.0,20.0,1.0,4.0,10,1,2016
2016-01-11,147.0,20.0,24.0,1.0,5.0,11,1,2016
2016-01-12,161.0,19.0,24.0,1.0,4.0,12,1,2016
2016-01-13,146.0,55.0,25.0,1.0,6.0,13,1,2016
2016-01-14,210.0,23.0,11.0,2.0,6.0,14,1,2016
2016-01-15,131.0,49.0,11.0,1.0,7.0,15,1,2016
2016-01-16,159.0,36.0,9.0,1.0,7.0,16,1,2016
2016-01-17,154.0,29.0,10.0,1.0,7.0,17,1,2016
2016-01-18,163.0,360.0,9.0,1.0,8.0,18,1,2016
2016-01-19,141.0,14.0,9.0,1.0,7.0,19,1,2016
2016-01-20,171.0,23.0,8.0,1.0,6.0,20,1,2016
2016-01-21,168.0,18.0,8.0,1.0,6.0,21,1,2016
2016-01-22,176.0,22.0,8.0,1.0,5.0,22,1,2016
2016-01-23,164.0,40.0,5.0,1.0,5.0,23,1,2016
2016-01-24,160.0,16.0,6.0,1.0,8.0,24,1,2016
2016-01-25,153.0,15.0,6.0,1.0,7.0,25,1,2016
2016-01-26,155.0,18.0,6.0,1.0,7.0,26,1,2016
2016-01-27,149.0,16.0,8.0,1.0,7.0,27,1,2016
2016-01-28,157.0,12.0,7.0,1.0,6.0,28,1,2016
2016-01-29,152.0,9.0,8.0,1.0,8.0,29,1,2016
2016-01-30,165.0,24.0,6.0,1.0,7.0,30,1,2016
2016-01-31,272.0,64.0,8.0,1.0,7.0,31,1,2016
2016-02-01,213.0,16.0,7.0,1.0,9.0,1,2,2016
2016-02-02,103.0,15.0,7.0,1.0,8.0,2,2,2016
