date, pm25, pm10, o3, no2, co
06-05-20,51,49,25, ,45
05-05-20,51,49,25, ,45
04-05-20,51,49,25, ,45
03-05-20,51,49,25, ,45
02-05-20,51,49,25, ,45
01-05-20,51,49,25, ,45
30-04-20,55,49,33, ,45
29-04-20,66,53,44, ,44
28-04-20,57,65,54, ,43
27-04-20,49,55,46, ,39
26-04-20,49,47,49, ,35
25-04-20,45,47,53, ,38
24-04-20,53,43,30, ,41
23-04-20,63,51,45, ,40
22-04-20,55,62,56, ,39
21-04-20,56,53,50, ,39
20-04-20,45,54,50, ,47
19-04-20,57,43,54, ,46
18-04-20,55,56,56, ,45
17-04-20,52,53,56, ,45
16-04-20,59,50,65, ,45
15-04-20,72,57,54, ,49
14-04-20,71,71,62, ,50
13-04-20,69,70,60, ,49
12-04-20,73,68,60, ,47
11-04-20,78,73,62, ,50
10-04-20,73,78,74, ,48
09-04-20,74,72,64, ,46
08-04-20,67,74,57, ,43
07-04-20,61,66,52, ,41
06-04-20,59,60,56, ,43
05-04-20,71,58,64, ,42
04-04-20,77,70,77, ,50
03-04-20,66,77,66, ,50
02-04-20,51,66,60, ,47
01-04-20,53,49,56, ,47
31-03-20, ,52,59, ,53
29-03-20,47, , , , 
28-03-20,59,45,22, ,56
27-03-20,51,57,42, ,58
26-03-20,50,50,41, ,50
25-03-20,76,48,58, ,50
24-03-20,69,71,64, ,46
23-03-20,62,66,68, ,42
22-03-20,72,61,55, ,45
21-03-20,81,71,53, ,46
20-03-20,73,81,52, ,45
19-03-20,87,73,49, ,44
18-03-20,106,87,64, ,48
17-03-20,114,104,74, ,54
16-03-20,126,106,86, ,54
15-03-20,119,111,72, ,55
14-03-20,105,108,65, ,59
13-03-20,70,100,64, ,52
12-03-20,63,69,61,29,50
11-03-20,64,62,52,29,52
10-03-20,96,63,43,29,51
09-03-20,106,97,45,29,56
08-03-20,106,104,52,29,61
07-03-20,68,100,67,29,55
06-03-20,96,65,49,29,53
05-03-20,107,96,39,29,54
04-03-20,91,104,52,29,59
03-03-20,100,92,58,29,56
02-03-20,123,96,43,29,53
01-03-20,146,110,54, ,57
29-02-20,163,118,72, ,13
28-02-20,195,123,74, ,48
27-02-20,160,135,77, ,55
26-02-20,133,122,69, ,41
25-02-20,191,113,69, ,40
24-02-20,191,133,47,29,47
23-02-20,162,133,69,29,45
22-02-20,141,123,95, ,37
21-02-20,178,116,62, ,32
20-02-20,182,129,72, ,16
19-02-20,165,130,85, ,27
18-02-20,200,124,74, ,20
17-02-20,213,137,69, ,32
16-02-20,172,142,66, ,36
15-02-20,150,127,67,29,34
14-02-20,200,119,73,30,30
13-02-20,189,137,63,33,36
12-02-20,145,133,44,38,47
11-02-20,93,117,44,49,45
10-02-20,92,94,42,44,30
09-02-20,110,93,43,34,18
08-02-20,110,105,54,12,20
07-02-20,111,105,58,13,25
06-02-20,160,105,74,28,25
05-02-20,127,122,74,46,33
04-02-20,100,109,68,55,35
03-02-20,107,96,63,67,21
02-02-20,125,101,59,19,30
01-02-20,150,110,64,19,21
31-01-20,129,119,65,21,34
30-01-20,88,111,92,43,35
29-01-20,67,88,63,51,28
28-01-20,95,66,49,57,23
27-01-20,146,89,40,73,24
26-01-20,183,117,59,74,51
25-01-20,194,131,55,78,56
24-01-20,195,135,54,65,69
23-01-20,144,135,34,38,51
22-01-20,114,117,56,41,38
21-01-20,132,106,59,31,31
20-01-20,159,113,79,30,40
19-01-20,184,122,64,50,39
18-01-20,134,130,60,58,39
17-01-20,78,113,68,58,34
16-01-20,82,77,66,58,20
15-01-20,87,82,73,58,17
14-01-20,97,87,82,58,24
13-01-20,155,94,51,58,27
12-01-20,188,121,66,58,43
11-01-20,173,132,60,57,48
10-01-20,128,127,53,57,42
09-01-20,93,111,45,58,31
08-01-20,108,92,27,58,32
07-01-20,146,101,22,58,40
06-01-20,136,118,42,58,50
05-01-20,156,114,60,58,43
04-01-20,139,115,58,58,44
03-01-20,115,96,31,58,45
02-01-20,121,104,24,58,39
01-01-20,89,106,33,57,38
31-12-19, ,87,27,56,45
29-12-19,152, , , , 
28-12-19,140,120,31, ,41
27-12-19,95,116,41,58,43
26-12-19,111,94,28, ,35
25-12-19,135,105,26, ,44
24-12-19,182,114,38, ,51
23-12-19,189,130,30, ,52
22-12-19,191,132,45,58,55
21-12-19,201,134,44,57,57
20-12-19,184,137,48,58,72
19-12-19,187,131,27,58,97
18-12-19,133,132,39,57,95
17-12-19,125,116,54,57,80
16-12-19,131,111,51,58,86
15-12-19,110,112,44,58,93
14-12-19,91,105,39,58,91
13-12-19,102,92,34,58,82
12-12-19,131,99,24,58,86
11-12-19,130,112,38,58,95
10-12-19,133,112,38,58,94
09-12-19,177,113,38,58,97
08-12-19,170,128,50,58,93
07-12-19,202,126,56,56,89
06-12-19,180,138,69,57,92
05-12-19,160,129,69,58,95
04-12-19,99,122,79,58,91
03-12-19,98,98,66,58,86
02-12-19,144,94,48,58,83
01-12-19, ,117,51,58,80
30-11-19,144, , , , 
29-11-19,153,116,30,58,99
28-11-19,181,120,58,58,95
27-11-19,218,130,58,58,96
26-11-19,240,143,61,58,93
25-11-19,237,151,63,58,97
24-11-19,215,150,64, ,100
23-11-19,180,142,67,58,99
22-11-19,159,129,72,58,97
21-11-19,161,122,56,58,97
20-11-19,178,122,27,58,104
19-11-19,159,129,72,55,101
18-11-19,95,122,66,52,98
17-11-19,138,95,83,58,81
16-11-19,121,115,69,58,91
15-11-19,115,109,71,54,90
14-11-19,101,106,62,51,90
13-11-19,111,100,68,58,84
12-11-19,94,105,62,58,87
11-11-19,81,95,64,58,87
10-11-19,51,80,53,55,82
09-11-19,45,48,51,55,71
08-11-19,41,42,48,56,73
07-11-19,61,38,40,56,76
06-11-19,57,59,18,57,92
05-11-19,35,55,22,58,94
04-11-19,33,31,46,57,76
03-11-19,44,29,42,55,49
02-11-19,32,41,52,56,54
01-11-19,45,36,43,58,46
31-10-19,45,42,59,58,41
